Ref,Bauteil,Wert,Menge,Footprint/Typ,Hinweis
U1,6N139,-,1,DIP-8 Sockel,Optokoppler MIDI-IN
U2,SN7406N,-,1,DIP-14 Sockel,Hex-Inverter 2 Gates in Reihe
D1,1N4148,-,1,DO-35 liegend,MIDI-IN Vorwiderstand-Diode
R1,Widerstand,220R 1/4W,1,Axial liegend,MIDI-IN Vorwiderstand
R2,Widerstand,4k7 1/4W,1,Axial liegend,Vb-Ableitwiderstand
R3,Widerstand,220R 1/4W,1,Axial liegend,Pull-up Optokoppler-Ausgang nach +3V3 (nicht +5V)
R4,Widerstand,220R 1/4W,1,Axial liegend,MIDI-THRU Pin4 Stromschleife
C1,Kondensator,100nF X7R,1,Radial RM5,Abblockkondensator U1
C2,Kondensator,100nF X7R,1,Radial RM5,Abblockkondensator U2
J1,Stiftleiste,2-polig 2.54mm,1,Vertikal,Board-Header MIDI-IN
J2,Stiftleiste,3-polig 2.54mm,1,Vertikal,Board-Header MIDI-THRU
J3,Stiftleiste,2-polig 2.54mm,1,Vertikal,Custom Switch
J4,Stiftleiste,2-polig 2.54mm,1,Vertikal,Grid-Taster
J5,Stiftleiste,2-polig 2.54mm,1,Vertikal,Reset-Taster
J6,Stiftleiste,7-polig 2.54mm,1,Vertikal,Board-Header Display
A1,ESP32-Buchsenleisten,2x 15-polig 2.54mm,2,DOIT_ESP32_DEVKIT_30Pins,ESP32-Board steckbar
-,DIP-8-Sockel,-,1,-,Fuer U1
-,DIP-14-Sockel,-,1,-,Fuer U2
-,Befestigungsloch M2,2.2mm,4,MountingHole,Nur mechanisch
-,ESP32 Dev Board,WROOM-32 DOIT-30Pin,1,Wird gesteckt
-,OLED-Display,SSD1309 2.42 Zoll 128x64 SPI,1,-,Via 7-pol Kabel an J6
-,DIN-5-Buchse Einbau,Vollmetall empfohlen,2,-,MIDI-IN + MIDI-THRU
-,Taster,Tact-Switch oder Fusstaster,3,-,Custom/Grid/Reset
-,Dupont-Kabel BB 2-polig,-,4,-,J1 + J3 + J4 + J5
-,Dupont-Kabel BB 3-polig,-,1,-,J2
-,Dupont-Kabel BB 7-polig,-,1,-,J6
